BSSR,11329445298176
YUPI,11150557184000
GOOD,11063281057792
ESSA,10939129659392
SMGR,10911581470720
BUKA,10836371308544
FILM,10778690191360
WIFI,10723268755456
HRUM,10716073426944
ADMF,10696735588352
COIN,10588235235328
SIDO,10361190219776
BBKP,10333813997568
PRAY,10329972015104
BIPI,10129921540096
LSIP,9991247364096
HRTA,9901314146304
SMSM,9876128399360
SIMP,9378292826112
MIDI,9295011774464
CLEO,9264000139264
RMKE,9231249965056
CMNP,9207487135744
BMAS,9051331100672
MDIA,9019573927936
AGII,8923980496896
SINI,8778249928704
SSMS,8762999963648
POLU,8756249755648
PACK,8743350697984
INPP,8386478342144
BJBR,8311940317184
KPIG,8263088734208
BBMD,8058249412608
CNMA,7994872430592
DUTI,7936499777536
SSIA,7857766400000
CYBR,7818952835072
BJTM,7808058654720
SGRO,7638212411392
BTPS,7626662871040
TLDN,7508987478016
SGER,7388195192832
ABMM,7378482233344
PNLF,7301032837120
ERAA,7258026016768
DMAS,7181518766080
ELPI,7095692820480
CLAY,7093199831040
FORE,7090095521792
BULL,7065463422976
TMAS,7051738087424
APIC,6942125195264
GMFI,6741103738880
EPMT,6419476643840
SMMT,6319124774912
MTDL,6261210873856
BOGA,6199747543040
ACES,6129099735040
OMED,6103835344896
DMND,5965065748480
WBSA,5812250476544
UNIC,5778720161792
SHIP,5711559393280
YULE,5555503497216
SMRA,5480844886016
MAYA,5285907267584
NATO,5240728322048
INET,5191021101056
ELSA,5181935190016
SAME,5115060158464
NICL,5083838283776
SMDR,5043684638720
ANJT,5014491758592
MBSS,4970075652096
EURO,4842770137088
MASB,4766836457472
BALI,4760856952832
HATM,4730599768064
PKPK,4692000112640
LPKR,4677903056896
PALM,4593999151104
TGKA,4555724029952
GJTL,4547218505728
DRMA,4517647089664
TOTL,4432999743488
KRAS,4410978598912
MPMX,4408073519104
BPII,4388563976192
TUGU,4373358051328
TOBA,4330914316288
TRIM,4265580167168
MSTI,4206817968128
MARK,4180000374784
SURE,4163263528960
BSWD,4149975187456
JECX,4131592339456
JTPE,4042626433024
BIRD,4015870443520
PBID,4012500058112
MTLA,3980665815040
CASS,3965205086208
AMAR,3963008057344
VICI,3957719826432
TFCO,3930807336960
NOBU,3926183116800
LINK,3855535308800
BANK,3804227436544
MKAP,3802499907584
WIIM,3798164832256
ARGO,3793335091200
TBLA,3782615236608
DKFT,3776737705984
AGRO,3774442373120
HEXA,3746400043008
RDTX,3722879959040
SMIL,3710319067136
PSGO,3694600126464
NIRO,3685012733952
DWGL,3664117235712
GGRP,3657635725312
BBYB,3604630208512
IATA,3596720275456
SOCI,3564794806272
ARNA,3514988494848
BEEF,3507947831296
MMIX,3504310583296
IMAS,3435090149376
KEEN,3318012706816
ROTI,3317142650880
GOLF,3312749379584
SDRA,3291050672128
KEJU,3287241195520
JSPT,3211449073664
CTBN,3201486028800
DAAZ,3185215012864
LPCK,3183505047552
BESS,3148016779264
IRSX,3142395101184
CBRE,3108576165888
CPRO,3038191550464
GTSI,3037275357184
ISSP,3018032939008
UANG,3000800116736
APLN,2973611851776
NEST,2961000103936
AGRS,2919727628288
MDLA,2914667462656
VISI,2905875152896
FISH,2904000036864
MAPB,2901326430208
INPC,2891947966464
SKRN,2889907961856
SAMF,2870000222208
BWPT,2863257878528
OMRE,2856854487040
PNIN,2847826771968
PNGO,2773437382656
HUMI,2763690082304
MINA,2736562372608
BGTG,2732693651456
DATA,2701875216384
SFAN,2699469258752
SMDM,2696257994752
ROCK,2690972123136
RANS,2673161011200
MNCN,2671886729216
BUKK,2666856710144
CBUT,2640625008640
MCOR,2616461361152
KIJA,2578807259136
KAEF,2560631242752
CENT,2525860724736
BNBA,2507120050176
ASRI,2456176295936
PYFA,2449611685888
PORT,2434059730944
PSKT,2422188277760
TOTO,2414879965184
ASGR,2407573225472
UDNG,2406304972800
BACA,2394363002880
MAHA,2393665699840
ABDA,2377689595904
DAYA,2372136075264
FPNI,2371292233728
MSJA,2361676529664
RALS,2355754434560
ASSA,2343872233472
MGRO,2337211678720
BACH,2328125243392
FUTR,2322443010048
MYOH,2283533500416
BCIC,2281850011648
BHIT,2255654223872
WINS,2234892419072
BABP,2222949662720
ALDO,2210241183744
PBSA,2193891393536
OASA,2183443644416
NETV,2150746947584
IPCC,2145693990912
VICO,2145607614464
JGLE,2145281376256
BCAP,2130942623744
PRDA,2126563377152
DNAR,2094656520192
JAWA,2094050836480
DOOH,2089500672000
BRAM,2070262185984
BISI,2070000041984
IFSH,2067383451648
MMLP,2052962123776
LPGI,1949999955968
PNBS,1940682178560
IFII,1938871943168
BLES,1938064932864
AMAG,1928841134080
BMTR,1913243959296
MTMH,1903044853760
SCCO,1891367256064
KMTR,1889534214144
BOLT,1886718656512
LPPF,1866503421952
DGWG,1847058890752
KOTA,1835011670016
AYAM,1832000028672
BKSW,1828218470400
ELTY,1827920281600
UCID,1820578676736
MBAP,1810226085888
KINO,1806252769280
INDS,1798124208128
DVLA,1775199977472
MERK,1774079967232
IMJS,1757580492800
SUNI,1756672032768
BVIC,1713005920256
SMBR,1688530976768
PSSI,1679750070272
FAST,1654467330048
BMHS,1651855982592
CSAP,1648120692736
PMJS,1636916396032
DEPO,1629600088064
TPMA,1629359833088
SPTO,1619999981568
ERAL,1618499993600
IPCM,1606582665216
NICE,1605653233664
KETR,1605313495040
DOID,1603863052288
MPPA,1589956968448
FMII,1587200000000
MLPL,1576949514240
SONA,1569888010240
RONY,1568750043136
COCO,1537684930560
