ticker,bars,span,tv,cost,trades,in_mkt,rule,hold,start,end,rule_early,hold_early,rule_late,hold_late,edge
SURI,645,2.5595238095238093,3384668600.9999948,0.016016666666666665,12,0.4496124031007752,-0.22893068375836922,-0.24093240011731276,2023-12-07,2026-08-28,,,-0.22893068375836922,-0.24093240011731276,0.012001716358943537
SWID,995,3.9484126984126986,76855850.99999996,0.01794567901234568,21,0.3758793969849246,-0.14340667685829056,-0.13058903708158165,2022-07-07,2026-08-28,,,-0.14340667685829056,-0.13058903708158165,-0.012817639776708911
TALF,3093,12.273809523809524,130001.00000000009,0.011482352941176471,96,0.5082444228903976,-0.47292867704322006,0.056064107177971056,2014-01-17,2026-08-28,,,-0.47292867704322006,0.056064107177971056,-0.5289927842211911
TAMA,1577,6.257936507936508,7834175.999999998,0.0256,33,0.44324667089410275,0.01955073094832871,-0.043560351930720276,2020-02-10,2026-08-28,,,0.01955073094832871,-0.043560351930720276,0.06311108287904899
TAMU,2289,9.083333333333334,77033951.0,0.0256,34,0.3669724770642202,0.1687779966841907,0.0369495344564037,2017-05-10,2026-08-28,,,0.1687779966841907,0.0369495344564037,0.131828462227787
TAPG,1295,5.138888888888889,16670003751.00001,0.012846376811594203,28,0.5405405405405406,0.27834456979506217,0.6628220959690365,2021-04-12,2026-08-28,,,0.27834456979506217,0.6628220959690365,-0.38447752617397435
TARA,2984,11.841269841269842,111563800.99999988,0.010650505050505051,64,0.4152144772117963,-0.057587175405800606,-0.1428803947429843,2014-07-11,2026-08-28,,,-0.057587175405800606,-0.1428803947429843,0.0852932193371837
TAXI,3392,13.46031746031746,119733000.99999993,0.0256,42,0.2806603773584906,0.1315557163611374,-0.24597083854894186,2012-11-02,2026-08-28,0.02558034106553375,2.6828481883592548,0.13707762568035986,-0.3016720801115885,0.37752655491007925
TBIG,3894,15.452380952380953,12863487500.999989,0.009446153846153847,95,0.5,0.007878018476447313,0.09706560422322208,2010-10-26,2026-08-28,0.151569321001928,0.34861648830750447,-0.019215169626834117,0.05251711500849021,-0.08918758574677477
TBLA,6158,24.436507936507937,890546751.000001,0.01441071767016747,151,0.4975641442026632,-0.024918281107179863,0.06601426407538069,2001-10-31,2026-08-28,-0.023371432764491717,0.05618058457321884,-0.026315653877068024,0.07498997901928561,-0.09093254518256055
TBMS,6307,25.02777777777778,427001.00000000035,0.0156,130,0.42318059299191374,-0.060722281394811284,0.16209564769215845,2001-04-05,2026-08-28,0.02732828496569817,0.14286100457541884,-0.13743335852947614,0.1806844764660025,-0.22281792908696973
TCID,6536,25.936507936507937,7900001.000000005,0.008688803088803088,154,0.48500611995104037,-0.0503787633817373,0.02989145117790626,2000-05-19,2026-08-28,0.007369262708839308,0.09503347930144446,-0.10595983809014986,-0.03616206856461879,-0.08027021455964356
TCPI,1988,7.888888888888889,58065356251.000084,0.008944481605351171,42,0.4954728370221328,0.07492545487801405,0.34811079171861814,2018-07-06,2026-08-28,,,0.07492545487801405,0.34811079171861814,-0.2731853368406041
TEBE,1633,6.48015873015873,216589500.99999967,0.012010256410256409,38,0.44764237599510104,0.06013304204093384,0.09315176065183484,2019-11-18,2026-08-28,,,0.06013304204093384,0.09315176065183484,-0.033018718610901
TELE,1795,7.123015873015873,2090238251.0000002,0.011969426751592356,45,0.4863509749303621,-0.03454640558235089,0.12455280695018045,2012-01-12,2019-04-08,0.23233986542671703,0.5519665189418486,-0.09208156569852355,0.043048603499937554,-0.15909921253253134
TFAS,1677,6.654761904761905,82159000.99999999,0.0134125,36,0.4460345855694693,0.2857198892599031,-0.05936403818741576,2019-09-17,2026-08-28,,,0.2857198892599031,-0.05936403818741576,0.34508392744731886
TFCO,5148,20.428571428571427,1.0,0.013933333333333332,116,0.4415306915306915,-0.2587833072564856,0.0540903358182514,2005-09-29,2026-08-28,-0.2759591411346032,0.07236155871413308,-0.24842670208495565,0.04342374096505908,-0.312873643074737
TGKA,5168,20.50793650793651,340000.99999999994,0.009338317757009346,116,0.5044504643962848,0.004461775788511035,0.23781228010802646,2005-08-30,2026-08-28,0.2864809497241705,0.4984750945367553,-0.13965419591226946,0.09742766801119496,-0.23335050431951543
TGRA,494,1.9603174603174602,387173000.9999999,0.014774311926605506,11,0.5182186234817814,0.023546786552895993,0.5224150930416895,2017-05-16,2019-04-08,,,0.023546786552895993,0.5224150930416895,-0.49886830648879354
TGUK,753,2.988095238095238,4322501.000000002,0.015403921568627452,8,0.28419654714475434,0.044804600565654606,-0.24860721571908917,2023-07-10,2026-08-28,,,0.044804600565654606,-0.24860721571908917,0.2934118162847438
TIFA,3719,14.757936507936508,5062021.755580898,0.016769532890223156,84,0.4796988437752084,0.0911782969873669,0.11282303896837909,2011-07-12,2026-08-28,0.06340557078319464,0.015092739223229401,0.0954154806864882,0.12649465107036817,-0.021644741981012183
TINS,6322,25.08730158730159,12339826501.00002,0.01100065339203819,130,0.4919329326162607,0.27615109636082513,0.19527851155382425,2001-03-14,2026-08-28,0.3861545243254394,0.21945710347189973,0.17915326581777635,0.17261061842939918,0.08087258480700088
TIRA,6397,25.384920634920636,1.0,0.01134712643678161,77,0.21385024230107863,-0.0342725787887157,0.063514945492124,2000-11-30,2026-08-28,0.00812580961047038,0.05473364219577603,-0.07403910587187401,0.07217961633122005,-0.0977875242808397
TIRT,4670,18.53174603174603,5797051.000000003,0.01671111111111111,112,0.44839400428265525,-0.21733028704114676,-0.08979224235549377,2000-05-16,2019-04-08,-0.3309930759327365,-0.13737771686447953,0.11522579571211344,0.024479327051360134,-0.127538044685653
TKIM,6398,25.38888888888889,581099793.5893555,0.008606799948555531,122,0.4929665520475148,0.32121310489108135,0.11950191185079406,2000-11-28,2026-08-28,0.338446922220049,0.09318260467053086,0.30454638612514184,0.14589804007866358,0.20171119304028728
TLDN,1047,4.154761904761905,93474376.0,0.014945794392523363,23,0.45463228271251194,-0.02505936382230145,0.03148873968732557,2022-04-12,2026-08-28,,,-0.02505936382230145,0.03148873968732557,-0.056548103509627023
TLKM,5398,21.42063492063492,244237851001.00037,0.00924963503649635,143,0.5281585772508336,-0.06276705508299174,0.10285825007358174,2004-09-28,2026-08-28,0.008876440795160256,0.17045162665240676,-0.1079105316806469,0.062372488040137286,-0.16562530515657348
TMAS,5147,20.424603174603174,129775851.78382498,0.0681,126,0.38624441422187683,-0.8573745515867383,0.17616983388752794,2005-09-29,2026-08-28,-0.9913032651717726,0.09249488350327595,-0.2528516837492315,0.22869655581517345,-1.0335443854742663
TMPO,6368,25.26984126984127,2095251.0000000012,0.013807413522595433,165,0.45650125628140703,-0.3256179863427201,-0.017058736878320047,2001-01-09,2026-08-28,-0.42282395391129524,-0.054225284409500474,-0.21567545376587283,0.020399437288944666,-0.30855924946440005
TNCA,1995,7.916666666666667,110841100.99999994,0.013536507936507937,41,0.4095238095238095,0.2555398478571882,-0.05670683796103859,2018-06-28,2026-08-28,,,0.2555398478571882,-0.05670683796103859,0.3122466858182268
TOBA,3472,13.777777777777779,39953751.000000045,0.010891005291005292,86,0.45910138248847926,-0.04104927560404803,0.01882581181870102,2012-07-06,2026-08-28,-0.45440570813521797,-0.613191095836837,0.009764222651988064,0.0947951647436085,-0.05987508742274905
TOOL,972,3.857142857142857,115243100.99999982,0.02199344262295082,32,0.448559670781893,-0.2747933993146072,-0.22095319427510807,2022-08-09,2026-08-28,,,-0.2747933993146072,-0.22095319427510807,-0.053840205039499156
TOPS,472,1.873015873015873,26834889001.000034,0.01185,13,0.4576271186440678,0.1938276466243014,2.0188074635648117,2017-06-16,2019-04-08,,,0.1938276466243014,2.0188074635648117,-1.8249798169405103
